Authors,Journal,YearPublication,DOI_ISBN,AdditionalSource,n_spp,n_pop,n_mat
Andrello,NA,2010,NA,Andrello Dracocephalum austriacum 2012; Andrello Cons Biol 2012b,1,8,8
Auestad; Rydgren; Jongejans; Kroon,Biol Conserv,2010,10.1016/j.biocon.2009.12.037,NA,1,3,3
Bermingham,Plant Ecol,2010,10.1007/s11258-010-9762-5,NA,1,4,13
Dangremond; Knight,Ecology,2010,10.1890/09-0418.1,Dangremond et al. ESA 2008 (PDF),1,3,12
Davison; Jacquemyn; Adriaens; Honnay; de Kroon; Tuljapurkar,J Ecol,2010,10.1111/j.1365-2745.2009.01611.x,Piessens Oecologia 2009,1,9,36
Evju; Halvorsen; Rydgren; Austrheim; Mysterud,Oecologia,2010,10.1007/s00442-010-1637-x,NA,1,1,6
Flores Martínez; Manzanero-Medino; Golubov; Montaña; Mandujano,Plant Ecol,2010,10.1007/s11258-010-9737-6,NA,1,1,6
Fortini; Zarin,Forest Ecol Manag,2010,10.1016/j.foreco.2010.11.007,Fortini Plos One 2015,7,7,7
Gaoue; Ticktin,Conserv Biol,2010,10.1111/j.1523-1739.2009.01345.x,Gaoue PhD thesis  2008.pdf; Gaoue J Appl Ecol 2016; Gaoue Ecol Model 2019,1,1,3
García; Goñi; Guzman,Conserv Biol,2010,10.1111/j.1523-1739.2010.01466.x,NA,1,2,17
Jacquemyns; Brys; Jongejans,Ecology,2010,10.1890/08-2321.1,Jacquemyn Ecol 2010 A2.html; Jacquemyn J Ecol 2010,1,7,43
Jongejans; Jorritsma-Wienk; Becker; Dostál; Mildén,J Ecol,2010,10.1111/j.1365-2745.2009.01612.x,NA,1,4,12
Law; Salick; Knight,Plant Ecol,2010,10.1007/s11258-010-9761-6,NA,1,1,2
Loayza; Knight,Ecology,2010,10.1890/09-0480.1,NA,1,2,2
Mayberry; Elle,Oecologia,2010,10.1007/s00442-010-1809-8,NA,1,3,7
Noel; Maurice; Mignot; Glémin; Carbonell; Justy; Guyot; Olivieri; Petit,Conserv Genet,2010,10.1007/s10592-010-0056-1,NA,1,5,41
Picard; Mortier; Chagneau,Ecol Model,2010,10.1016/j.ecolmodel.2010.06.010,Picard Ecol Model 2010 (PDF),1,1,1
Plank,NA,2010,NA,NA,1,12,16
Quitete-Portela; Bruna; dos Santos,Biodivers Conserv,2010,10.1007/s10531-010-9846-5,NA,1,1,3
Sampaio; Scariot,J Trop Ecol,2010,10.1017/S0266467409990599,Portela Biodiv; Cons 2010 (PDF),1,1,5
Sletvold; Øien; Moen,Biol Conserv,2010,10.1016/j.biocon.2009.12.017,Sletvold GCB 2013,1,3,3
Squires,NA,2010,NA,NA,2,2,2
Sánchez-Velásquez; Pineda-López,Popul Ecol,2010,10.1007/s10144-009-0161-5,NA,1,1,4
Zepeda Martinez,NA,2010,NA,NA,1,1,1
Bjornstrom; Hyvärinen; Siikamaki; Strengell; Väre; Tuomi,Ann Bot Fenn,2011,10.5735/085.048.0202,NA,1,2,2
Bravo Espinoza,NA,2011,NA,NA,1,1,1
Bullock; White; Prudhomme; Tansey; Perea; Hooftman,J Ecol,2011,10.1111/j.1365-2745.2011.01910.x,Matrix is constructed using demographic data from Thebaud et al. (1996); Buhler et al. (1997); Prieur-Richard et al. (2000),1,1,1
Chen; Visser; Jongejans; van Breugel; Zuidema; Kassim; de Kroon,J Ecol,2011,10.1111/j.1365-2745.2011.01825.x,Table S2,1,1,4
Csergő; Molnár; García,Popul Ecol,2011,10.1007/s10144-010-0249-y,Csergo Popul Ecol 2011 Stage structure.xls; Csergo Popul Ecol 2011 Transition matrices.xls,1,5,19
Dominguez Lozano; Moreno Saiz; Schwartz,J Nat Conserv,2011,10.1016/j.jnc.2011.05.005,Iriondo Book 2009,1,1,5
Jäkäläniemi,Environ Exp Bot,2011,10.1016/j.envexpbot.2011.03.013,NA,1,1,1
